index,Grid_X,Grid_Y,Longitude,Latitude
1,48,59,126.26554444444444,34.48375
2,48,109,126.299975,36.742666666666665
3,50,66,126.38173055555555,34.789811111111106
4,50,67,126.39441944444445,34.808788888888884
5,51,110,126.45216388888889,36.78209722222222
6,51,67,126.465,34.813044444444444
7,52,71,126.4837,34.98736944444445
8,51,130,126.49,37.743858333333336
9,52,38,126.50033333333333,33.48569444444445
10,52,33,126.51255555555555,33.25235
11,52,77,126.51408611111111,35.274166666666666
12,52,72,126.51861944444444,35.06274444444444
13,53,38,126.53320833333333,33.49631111111111
14,54,61,126.60128888888889,34.570436111111114
15,54,100,126.6148861111111,36.330575
16,54,125,126.62356666666666,37.470933333333335
17,54,112,126.63025277777777,36.89075
18,54,124,126.6388888888889,37.44372499999999
19,54,125,126.64536666666667,37.47103611111111
20,54,124,126.65268611111112,37.460680555555555
21,55,106,126.66290833333333,36.59836111111111
22,55,126,126.6782,37.54269166666666
23,55,123,126.68044166666667,37.40712222222222
24,55,94,126.69388888888889,36.07740555555556
25,56,66,126.69861944444445,34.79698888888889
26,56,80,126.70410833333334,35.432738888888885
27,55,124,126.70735277777779,37.45323333333334
28,56,71,126.71286666666667,35.012838888888886
29,55,128,126.71777777777778,37.612458333333336
30,55,125,126.7241,37.504266666666666
31,56,124,126.73379722222222,37.44451944444444
32,56,87,126.73567777777778,35.72853333333334
33,56,92,126.73884444444444,35.96464166666667
34,56,126,126.73975277777778,37.53479166666666
35,56,129,126.75277777777778,37.672486111111105
36,57,56,126.75709722222223,34.307852777777775
37,56 ,125 ,126.766,37.5035917
38,57,63,126.76919722222222,34.63891111111111
39,56,129,126.77705555555555,37.65590833333333
40,56,131,126.78195277777778,37.757083333333334
41,57,77,126.786975,35.29881111111111
42,57,74,126.7957888888889,35.136427777777776
43,57,103,126.80425555555556,36.456269444444445
44,57,123,126.80507777777777,37.377319444444446
45,57,121,126.81441944444444,37.31672777777778
46,57,119,126.83353055555555,37.19681666666666
47,57,128,126.83419722222222,37.63458333333333
48,58,121,126.84681944444444,37.298519444444445
49,58,107,126.85087499999999,36.679805555555554
50,58,126,126.851675,37.54815555555555
51,58,74,126.85336388888888,35.156974999999996
52,58,83,126.8581111111111,35.56687222222222
53,58,125,126.86670833333332,37.475750000000005
54,58,126,126.86870833333333,37.51423055555556
55,59,88,126.88275277777777,35.800574999999995
56,58,125,126.88959722222224,37.49265
57,59,74,126.89341111111112,35.149483333333336
58,58,126,126.89834166666667,37.52361111111111
59,59,124,126.90419722222222,37.44910833333333
60,59,64,126.90910833333334,34.678525
61,59,73,126.91014444444446,35.119036111111114
62,59,127,126.91053055555557,37.56070555555555
63,59,99,126.91186388888889,36.272822222222224
64,59,75,126.91412222222223,35.171124999999996
65,60,74,126.92517777777778,35.1431
66,59,127,126.93124166666666,37.59996944444445
67,59,123,126.9345,37.38377777777778
68,59,122,126.9375,37.35865833333334
69,59,127,126.93889722222222,37.57636666666667
70,59,125,126.941575,37.509655555555554
71,59,123,126.95335555555556,37.3897
72,59,125,126.95384444444444,37.47538611111111
73,60,91,126.95985277777778,35.945274999999995
74,60,126,126.96752222222223,37.536094444444444
75,60,122,126.97038888888889,37.341950000000004
76,60,120,126.974075,37.254733333333334
77,60,127,126.98000833333333,37.56356944444444
78,60,127,126.98164166666668,37.57037777777778
79,61,72,126.98856666666667,35.061480555555555
80,60,124,126.9898,37.42637222222222
81,61,78,126.99016388888889,35.318125
82,60,127,126.99964166666666,37.56100277777777
83,60,110,127.00464166666667,36.787105555555556
84,60,120,127.01168888888888,37.27184444444444
85,60,121,127.01222222222222,37.30101111111111
86,61,127,127.02033333333333,37.58638333333334
87,61,128,127.02771944444444,37.63695555555555
88,61,125,127.03481111111111,37.480786111111115
89,61,130,127.03584166666667,37.73528888888889
90,61,121,127.03783333333332,37.28310277777778
91,61,127,127.039,37.56061111111111
92,61,127,127.04214166666667,37.571625000000004
93,61,131,127.04781944444444,37.78245
94,61,120,127.04863333333333,37.25631111111111
95,61,129,127.04952222222222,37.66583333333333
96,61,126,127.04955555555556,37.514575
97,61,129,127.05838888888889,37.65146111111111
98,61,134,127.06265277777777,37.90091666666667
99,61,138,127.07706666666667,38.09336388888889
100,62,118,127.07964166666666,37.14691388888889
101,62,66,127.08208888888889,34.76833333333333
